x,y,z,t
2.27321,3.89491,0.0855205,0
2.23325,3.92526,0.0845889,0.01
2.19301,3.95527,0.0836557,0.02
2.15248,3.98494,0.0827215,0.03
2.11166,4.01426,0.0817867,0.04
2.07056,4.04323,0.0808521,0.05
2.02918,4.07184,0.079918,0.06
1.98752,4.1001,0.0789849,0.07
1.9456,4.12799,0.0780535,0.08
1.9034,4.15552,0.0771242,0.09
1.86094,4.18268,0.0761975,0.1
1.81823,4.20947,0.0752738,0.11
1.77525,4.23588,0.0743537,0.12
1.73202,4.26192,0.0734376,0.13
1.68855,4.28757,0.0725259,0.14
1.64482,4.31284,0.0716191,0.15
1.60086,4.33772,0.0707175,0.16
1.55665,4.36221,0.0698216,0.17
1.51222,4.3863,0.0689317,0.18
1.46755,4.40999,0.0680483,0.19
1.42266,4.43329,0.0671716,0.2
1.37754,4.45618,0.0663021,0.21
1.33221,4.47866,0.06544,0.22
1.28666,4.50074,0.0645856,0.23
1.24091,4.5224,0.0637393,0.24
1.19494,4.54364,0.0629013,0.25
1.14878,4.56447,0.0620719,0.26
1.10241,4.58488,0.0612513,0.27
1.05585,4.60486,0.0604398,0.28
1.00911,4.62441,0.0596376,0.29
0.962175,4.64354,0.0588448,0.3
0.915061,4.66223,0.0580617,0.31
0.867771,4.68049,0.0572884,0.32
0.820307,4.6983,0.0565251,0.33
0.772675,4.71568,0.055772,0.34
0.72488,4.73262,0.055029,0.35
0.676924,4.74911,0.0542965,0.36
0.628813,4.76515,0.0535744,0.37
0.580551,4.78075,0.0528628,0.38
0.532142,4.79589,0.0521618,0.39
0.483591,4.81057,0.0514715,0.4
0.434903,4.8248,0.0507919,0.41
0.386081,4.83857,0.050123,0.42
0.33713,4.85188,0.0494649,0.43
0.288056,4.86472,0.0488175,0.44
0.238861,4.8771,0.0481809,0.45
0.189552,4.889,0.0475551,0.46
0.140132,4.90044,0.0469399,0.47
0.0906055,4.91141,0.0463355,0.48
0.0409782,4.9219,0.0457416,0.49
-0.00874577,4.93191,0.0451584,0.5
-0.0585617,4.94145,0.0445857,0.51
-0.108465,4.95051,0.0440234,0.52
-0.158451,4.95908,0.0434715,0.53
-0.208514,4.96717,0.0429298,0.54
-0.258651,4.97478,0.0423984,0.55
-0.308856,4.9819,0.0418771,0.56
-0.359125,4.98853,0.0413657,0.57
-0.409453,4.99467,0.0408642,0.58
-0.459834,5.00032,0.0403725,0.59
-0.510265,5.00548,0.0398904,0.6
-0.56074,5.01014,0.0394179,0.61
-0.611254,5.0143,0.0389547,0.62
-0.661804,5.01797,0.0385008,0.63
-0.712382,5.02114,0.038056,0.64
-0.762986,5.0238,0.0376201,0.65
-0.813609,5.02597,0.0371931,0.66
-0.864247,5.02764,0.0367748,0.67
-0.914896,5.0288,0.0363651,0.68
-0.965549,5.02945,0.0359638,0.69
-1.0162,5.0296,0.0355707,0.7
-1.06685,5.02925,0.0351857,0.71
-1.11749,5.02838,0.0348087,0.72
-1.16811,5.02701,0.0344395,0.73
-1.21872,5.02513,0.034078,0.74
-1.2693,5.02274,0.0337239,0.75
-1.31984,5.01983,0.0333773,0.76
-1.37036,5.01642,0.0330378,0.77
-1.42083,5.01249,0.0327054,0.78
-1.47126,5.00805,0.03238,0.79
-1.52164,5.0031,0.0320613,0.8
-1.57196,4.99763,0.0317492,0.81
-1.62222,4.99165,0.0314437,0.82
-1.67242,4.98515,0.0311444,0.83
-1.72255,4.97814,0.0308514,0.84
-1.7726,4.97061,0.0305645,0.85
-1.82257,4.96257,0.0302835,0.86
-1.87246,4.95401,0.0300082,0.87
-1.92225,4.94494,0.0297387,0.88
-1.97195,4.93535,0.0294747,0.89
-2.02154,4.92524,0.0292161,0.9
-2.07103,4.91462,0.0289628,0.91
-2.12041,4.90348,0.0287146,0.92
-2.16968,4.89182,0.0284715,0.93
-2.21882,4.87965,0.0282334,0.94
-2.26783,4.86697,0.028,0.95
-2.31672,4.85376,0.0277713,0.96
-2.36546,4.84005,0.0275473,0.97
-2.41407,4.82582,0.0273277,0.98
-2.46252,4.81107,0.0271125,0.99
-2.51083,4.79581,0.0269015,1
-2.55898,4.78004,0.0266947,1.01
-2.60696,4.76375,0.0264921,1.02
-2.65478,4.74695,0.0262933,1.03
-2.70242,4.72964,0.0260985,1.04
-2.74989,4.71182,0.0259075,1.05
-2.79718,4.69349,0.0257202,1.06
-2.84427,4.67465,0.0255365,1.07
-2.89118,4.65531,0.0253563,1.08
-2.93789,4.63545,0.0251796,1.09
-2.98439,4.61509,0.0250063,1.1
-3.03069,4.59422,0.0248363,1.11
-3.07677,4.57285,0.0246695,1.12
-3.12263,4.55098,0.0245059,1.13
-3.16828,4.52861,0.0243454,1.14
-3.21369,4.50573,0.0241879,1.15
-3.25887,4.48235,0.0240333,1.16
-3.30382,4.45848,0.0238816,1.17
-3.34852,4.43411,0.0237328,1.18
-3.39297,4.40925,0.0235867,1.19
-3.43717,4.38389,0.0234433,1.2
-3.48112,4.35804,0.0233025,1.21
-3.5248,4.3317,0.0231644,1.22
-3.56821,4.30487,0.0230288,1.23
-3.61136,4.27756,0.0228957,1.24
-3.65422,4.24976,0.022765,1.25
-3.69681,4.22147,0.0226367,1.26
-3.7391,4.19271,0.0225107,1.27
-3.78111,4.16346,0.022387,1.28
-3.82282,4.13374,0.0222656,1.29
-3.86423,4.10354,0.0221464,1.3
-3.90533,4.07287,0.0220293,1.31
-3.94612,4.04173,0.0219144,1.32
-3.9866,4.01011,0.0218015,1.33
-4.02676,3.97804,0.0216907,1.34
-4.06659,3.94549,0.0215819,1.35
-4.1061,3.91249,0.0214751,1.36
-4.14527,3.87902,0.0213702,1.37
-4.18411,3.8451,0.0212672,1.38
-4.2226,3.81072,0.021166,1.39
-4.26074,3.77589,0.0210667,1.4
-4.29854,3.74061,0.0209692,1.41
-4.33597,3.70488,0.0208735,1.42
-4.37305,3.66871,0.0207795,1.43
-4.40976,3.6321,0.0206872,1.44
-4.4461,3.59504,0.0205966,1.45
-4.48207,3.55756,0.0205077,1.46
-4.51766,3.51963,0.0204204,1.47
-4.55287,3.48128,0.0203347,1.48
-4.58769,3.4425,0.0202506,1.49
-4.62213,3.4033,0.0201681,1.5
-4.65616,3.36367,0.0200871,1.51
-4.6898,3.32363,0.0200076,1.52
-4.72303,3.28317,0.0199296,1.53
-4.75586,3.24231,0.019853,1.54
-4.78828,3.20103,0.0197779,1.55
-4.82027,3.15934,0.0197043,1.56
-4.85185,3.11726,0.019632,1.57
-4.88301,3.07478,0.0195612,1.58
-4.91374,3.0319,0.0194917,1.59
-4.94404,2.98863,0.0194236,1.6
-4.9739,2.94498,0.0193568,1.61
-5.00332,2.90094,0.0192913,1.62
-5.0323,2.85651,0.0192272,1.63
-5.06084,2.81172,0.0191643,1.64
-5.08892,2.76655,0.0191027,1.65
-5.11655,2.72101,0.0190423,1.66
-5.14372,2.6751,0.0189832,1.67
-5.17043,2.62883,0.0189254,1.68
-5.19667,2.58221,0.0188687,1.69
-5.22245,2.53523,0.0188132,1.7
-5.24775,2.4879,0.018759,1.71
-5.27258,2.44023,0.0187059,1.72
-5.29693,2.39221,0.0186539,1.73
-5.3208,2.34386,0.0186031,1.74
-5.34418,2.29517,0.0185535,1.75
-5.36707,2.24616,0.018505,1.76
-5.38947,2.19682,0.0184576,1.77
-5.41138,2.14716,0.0184113,1.78
-5.43278,2.09718,0.0183661,1.79
-5.45369,2.04689,0.018322,1.8
