x,y,z,t
-7.56282,3.90183,0.0155017,0
-7.60199,3.83401,0.0154458,0.01
-7.64048,3.76566,0.0153912,0.02
-7.67829,3.69678,0.0153379,0.03
-7.71542,3.6274,0.015286,0.04
-7.75184,3.5575,0.0152353,0.05
-7.78757,3.48709,0.0151859,0.06
-7.82259,3.41619,0.0151377,0.07
-7.85691,3.3448,0.0150906,0.08
-7.89051,3.27292,0.0150448,0.09
-7.92338,3.20056,0.0150002,0.1
-7.95554,3.12773,0.0149566,0.11
-7.98697,3.05443,0.0149142,0.12
-8.01766,2.98067,0.0148729,0.13
-8.04762,2.90645,0.0148327,0.14
-8.07683,2.83179,0.0147936,0.15
-8.10529,2.75668,0.0147555,0.16
-8.13301,2.68114,0.0147184,0.17
-8.15997,2.60517,0.0146824,0.18
-8.18617,2.52879,0.0146475,0.19
-8.2116,2.45198,0.0146135,0.2
-8.23627,2.37477,0.0145805,0.21
-8.26016,2.29716,0.0145485,0.22
-8.28328,2.21915,0.0145175,0.23
-8.30561,2.14075,0.0144875,0.24
-8.32717,2.06198,0.0144584,0.25
-8.34793,1.98283,0.0144303,0.26
-8.3679,1.90332,0.0144032,0.27
-8.38708,1.82345,0.0143769,0.28
-8.40546,1.74322,0.0143517,0.29
-8.42303,1.66265,0.0143273,0.3
-8.4398,1.58175,0.0143038,0.31
-8.45576,1.50051,0.0142813,0.32
-8.47091,1.41896,0.0142597,0.33
-8.48524,1.33709,0.014239,0.34
-8.49876,1.25491,0.0142191,0.35
-8.51145,1.17243,0.0142002,0.36
-8.52332,1.08966,0.0141821,0.37
-8.53435,1.00661,0.014165,0.38
-8.54456,0.923277,0.0141487,0.39
-8.55394,0.839678,0.0141333,0.4
-8.56247,0.755818,0.0141187,0.41
-8.57017,0.671705,0.014105,0.42
-8.57703,0.587346,0.0140922,0.43
-8.58305,0.502751,0.0140803,0.44
-8.58821,0.417926,0.0140692,0.45
-8.59253,0.332879,0.0140589,0.46
-8.596,0.24762,0.0140496,0.47
-8.59862,0.162155,0.014041,0.48
-8.60038,0.0764932,0.0140334,0.49
-8.60129,-0.00935766,0.0140265,0.5
-8.60133,-0.0953892,0.0140206,0.51
-8.60052,-0.181593,0.0140154,0.52
-8.59884,-0.267962,0.0140112,0.53
-8.59631,-0.354486,0.0140077,0.54
-8.5929,-0.441158,0.0140051,0.55
-8.58863,-0.527969,0.0140034,0.56
-8.58349,-0.614912,0.0140025,0.57
-8.57748,-0.701976,0.0140025,0.58
-8.5706,-0.789155,0.0140033,0.59
-8.56285,-0.876439,0.0140049,0.6
-8.55422,-0.963821,0.0140074,0.61
-8.54473,-1.05129,0.0140108,0.62
-8.53435,-1.13884,0.014015,0.63
-8.52311,-1.22646,0.01402,0.64
-8.51098,-1.31415,0.0140259,0.65
-8.49798,-1.40188,0.0140327,0.66
-8.4841,-1.48967,0.0140404,0.67
-8.46934,-1.57749,0.0140489,0.68
-8.45371,-1.66534,0.0140582,0.69
-8.4372,-1.7532,0.0140685,0.7
-8.41981,-1.84108,0.0140796,0.71
-8.40154,-1.92896,0.0140916,0.72
-8.38239,-2.01684,0.0141044,0.73
-8.36236,-2.10469,0.0141182,0.74
-8.34145,-2.19253,0.0141328,0.75
-8.31967,-2.28033,0.0141484,0.76
-8.29701,-2.36808,0.0141648,0.77
-8.27347,-2.45579,0.0141822,0.78
-8.24905,-2.54344,0.0142004,0.79
-8.22376,-2.63101,0.0142196,0.8
-8.19759,-2.71851,0.0142397,0.81
-8.17055,-2.80593,0.0142607,0.82
-8.14263,-2.89324,0.0142827,0.83
-8.11384,-2.98046,0.0143056,0.84
-8.08418,-3.06756,0.0143294,0.85
-8.05365,-3.15453,0.0143542,0.86
-8.02225,-3.24138,0.01438,0.87
-7.98998,-3.32808,0.0144067,0.88
-7.95684,-3.41464,0.0144345,0.89
-7.92284,-3.50104,0.0144632,0.9
-7.88797,-3.58727,0.0144929,0.91
-7.85225,-3.67332,0.0145236,0.92
-7.81566,-3.75919,0.0145553,0.93
-7.77821,-3.84487,0.0145881,0.94
-7.73991,-3.93034,0.0146219,0.95
-7.70075,-4.0156,0.0146567,0.96
-7.66074,-4.10064,0.0146926,0.97
-7.61988,-4.18544,0.0147295,0.98
-7.57818,-4.27001,0.0147676,0.99
-7.53562,-4.35434,0.0148067,1
-7.49223,-4.4384,0.014847,1.01
-7.44799,-4.5222,0.0148883,1.02
-7.40292,-4.60572,0.0149308,1.03
-7.35701,-4.68897,0.0149744,1.04
-7.31027,-4.77191,0.0150192,1.05
-7.2627,-4.85456,0.0150652,1.06
-7.21431,-4.9369,0.0151123,1.07
-7.16509,-5.01891,0.0151607,1.08
-7.11505,-5.1006,0.0152102,1.09
-7.0642,-5.18195,0.015261,1.1
-7.01253,-5.26296,0.0153131,1.11
-6.96006,-5.34361,0.0153664,1.12
-6.90677,-5.4239,0.015421,1.13
-6.85269,-5.50381,0.0154769,1.14
-6.7978,-5.58335,0.0155341,1.15
-6.74213,-5.66249,0.0155927,1.16
-6.68566,-5.74124,0.0156527,1.17
-6.6284,-5.81958,0.015714,1.18
-6.57036,-5.8975,0.0157767,1.19
-6.51155,-5.975,0.0158408,1.2
-6.45195,-6.05207,0.0159064,1.21
-6.39159,-6.12869,0.0159735,1.22
-6.33047,-6.20486,0.016042,1.23
-6.26858,-6.28058,0.0161121,1.24
-6.20593,-6.35582,0.0161837,1.25
-6.14254,-6.43059,0.0162569,1.26
-6.07839,-6.50488,0.0163317,1.27
-6.01351,-6.57868,0.0164081,1.28
-5.94788,-6.65197,0.0164861,1.29
-5.88153,-6.72475,0.0165658,1.3
-5.81445,-6.79702,0.0166472,1.31
-5.74664,-6.86875,0.0167304,1.32
-5.67812,-6.93996,0.0168153,1.33
-5.60889,-7.01062,0.0169021,1.34
-5.53896,-7.08073,0.0169906,1.35
-5.46832,-7.15028,0.0170811,1.36
-5.39699,-7.21926,0.0171734,1.37
-5.32497,-7.28767,0.0172677,1.38
-5.25226,-7.3555,0.0173639,1.39
-5.17888,-7.42273,0.0174622,1.4
-5.10483,-7.48936,0.0175625,1.41
-5.03011,-7.55539,0.0176649,1.42
-4.95473,-7.6208,0.0177694,1.43
-4.8787,-7.68559,0.0178761,1.44
-4.80202,-7.74975,0.0179851,1.45
-4.72471,-7.81327,0.0180963,1.46
-4.64676,-7.87614,0.0182098,1.47
-4.56818,-7.93836,0.0183257,1.48
-4.48898,-7.99992,0.018444,1.49
-4.40916,-8.06081,0.0185647,1.5
-4.32874,-8.12103,0.018688,1.51
-4.24771,-8.18055,0.0188138,1.52
-4.1661,-8.23939,0.0189423,1.53
-4.08389,-8.29753,0.0190734,1.54
-4.00111,-8.35497,0.0192073,1.55
-3.91775,-8.41169,0.019344,1.56
-3.83383,-8.46769,0.0194835,1.57
-3.74935,-8.52296,0.019626,1.58
-3.66431,-8.5775,0.0197715,1.59
-3.57873,-8.6313,0.01992,1.6
-3.49262,-8.68435,0.0200717,1.61
-3.40598,-8.73664,0.0202266,1.62
-3.31881,-8.78818,0.0203847,1.63
-3.23114,-8.83894,0.0205463,1.64
-3.14295,-8.88893,0.0207113,1.65
-3.05427,-8.93814,0.0208798,1.66
-2.9651,-8.98656,0.0210519,1.67
-2.87544,-9.03418,0.0212277,1.68
-2.78531,-9.081,0.0214074,1.69
-2.69472,-9.12702,0.0215909,1.7
-2.60366,-9.17222,0.0217784,1.71
-2.51216,-9.2166,0.02197,1.72
-2.42021,-9.26016,0.0221658,1.73
-2.32783,-9.30288,0.0223659,1.74
-2.23503,-9.34476,0.0225704,1.75
-2.1418,-9.3858,0.0227794,1.76
-2.04817,-9.42599,0.0229931,1.77
-1.95414,-9.46533,0.0232115,1.78
-1.85972,-9.5038,0.0234349,1.79
-1.76492,-9.5414,0.0236633,1.8
-1.66974,-9.57814,0.0238968,1.81
-1.5742,-9.61399,0.0241357,1.82
-1.4783,-9.64896,0.02438,1.83
-1.38206,-9.68304,0.02463,1.84
-1.28547,-9.71623,0.0248856,1.85
-1.18856,-9.74851,0.0251473,1.86
-1.09132,-9.7799,0.025415,1.87
-0.993779,-9.81037,0.025689,1.88
-0.895932,-9.83993,0.0259694,1.89
-0.797793,-9.86857,0.0262565,1.9
-0.69937,-9.89628,0.0265504,1.91
-0.600672,-9.92307,0.0268513,1.92
-0.50171,-9.94892,0.0271595,1.93
-0.402493,-9.97384,0.0274752,1.94
-0.303029,-9.99781,0.0277985,1.95
-0.203329,-10.0208,0.0281297,1.96
-0.103402,-10.0429,0.0284692,1.97
-0.0032575,-10.064,0.028817,1.98
0.0970946,-10.0842,0.0291735,1.99
0.197645,-10.1034,0.0295389,2
0.298383,-10.1216,0.0299136,2.01
0.3993,-10.1389,0.0302978,2.02
0.500386,-10.1552,0.0306918,2.03
0.601631,-10.1705,0.0310959,2.04
0.703025,-10.1848,0.0315105,2.05
0.804557,-10.1981,0.0319359,2.06
0.906219,-10.2105,0.0323725,2.07
1.008,-10.2218,0.0328207,2.08
1.10989,-10.2322,0.0332807,2.09
1.21188,-10.2416,0.0337531,2.1
1.31396,-10.2499,0.0342382,2.11
1.41612,-10.2573,0.0347365,2.12
1.51834,-10.2636,0.0352485,2.13
1.62062,-10.269,0.0357745,2.14
1.72296,-10.2733,0.0363151,2.15
1.82533,-10.2766,0.0368708,2.16
1.92772,-10.2789,0.0374422,2.17
2.03014,-10.2802,0.0380298,2.18
2.13256,-10.2805,0.0386342,2.19
2.23498,-10.2797,0.0392559,2.2
2.33738,-10.2779,0.0398957,2.21
2.43977,-10.2751,0.0405541,2.22
2.54211,-10.2713,0.041232,2.23
2.64441,-10.2664,0.0419299,2.24
2.74666,-10.2605,0.0426487,2.25
2.84883,-10.2535,0.0433891,2.26
2.95093,-10.2455,0.0441521,2.27
3.05295,-10.2365,0.0449383,2.28
3.15486,-10.2265,0.0457487,2.29
3.25667,-10.2154,0.0465844,2.3
3.35836,-10.2032,0.0474462,2.31
3.45992,-10.1901,0.0483351,2.32
3.56134,-10.1758,0.0492524,2.33
3.6626,-10.1606,0.0501991,2.34
3.7637,-10.1443,0.0511763,2.35
3.86464,-10.1269,0.0521854,2.36
3.96538,-10.1085,0.0532276,2.37
4.06594,-10.0891,0.0543043,2.38
4.16628,-10.0686,0.0554169,2.39
4.26642,-10.0471,0.056567,2.4
4.36632,-10.0245,0.0577561,2.41
4.46599,-10.0009,0.0589858,2.42
4.56541,-9.97625,0.0602579,2.43
4.66457,-9.95055,0.0615742,2.44
4.76346,-9.9238,0.0629366,2.45
4.86207,-9.89602,0.0643472,2.46
4.96038,-9.86719,0.065808,2.47
5.0584,-9.83732,0.0673213,2.48
5.1561,-9.80641,0.0688894,2.49
5.25347,-9.77446,0.0705147,2.5
5.35051,-9.74147,0.0721998,2.51
5.4472,-9.70745,0.0739475,2.52
5.54354,-9.67239,0.0757605,2.53
5.63951,-9.6363,0.077642,2.54
5.73509,-9.59918,0.079595,2.55
5.83029,-9.56103,0.081623,2.56
5.92508,-9.52185,0.0837293,2.57
6.01946,-9.48164,0.0859178,2.58
6.11342,-9.44041,0.0881922,2.59
6.20694,-9.39816,0.0905569,2.6
6.30002,-9.35488,0.0930159,2.61
6.39264,-9.31059,0.095574,2.62
6.48479,-9.26529,0.098236,2.63
6.57646,-9.21897,0.101007,2.64
6.66764,-9.17164,0.103892,2.65
6.75832,-9.12331,0.106898,2.66
6.84848,-9.07397,0.110029,2.67
6.93812,-9.02364,0.113293,2.68
7.02722,-8.9723,0.116695,2.69
7.11578,-8.91998,0.120244,2.7
7.20378,-8.86666,0.123946,2.71
7.2912,-8.81235,0.12781,2.72
7.37805,-8.75707,0.131844,2.73
7.4643,-8.7008,0.136056,2.74
7.54995,-8.64356,0.140457,2.75
7.63498,-8.58535,0.145055,2.76
7.71938,-8.52617,0.149862,2.77
7.80315,-8.46603,0.154888,2.78
7.88626,-8.40493,0.160146,2.79
7.9687,-8.34287,0.165647,2.8
8.05048,-8.27987,0.171405,2.81
