x,y,z,t
0.1,0.1,0.1,0
0.0980117,0.101191,0.096498,0.01
0.0960456,0.102365,0.0931849,0.02
0.0941002,0.103522,0.0900506,0.03
0.0921737,0.104661,0.0870855,0.04
0.0902648,0.105784,0.0842805,0.05
0.088372,0.10689,0.0816269,0.06
0.086494,0.107979,0.0791166,0.07
0.0846297,0.109052,0.076742,0.08
0.0827778,0.110108,0.0744956,0.09
0.0809372,0.111148,0.0723705,0.1
0.0791071,0.112171,0.0703604,0.11
0.0772863,0.113178,0.0684588,0.12
0.075474,0.11417,0.06666,0.13
0.0736694,0.115145,0.0649584,0.14
0.0718717,0.116103,0.0633487,0.15
0.0700802,0.117046,0.0618261,0.16
0.0682941,0.117973,0.0603857,0.17
0.0665128,0.118884,0.0590231,0.18
0.0647357,0.119779,0.0577342,0.19
0.0629623,0.120658,0.0565149,0.2
0.0611921,0.121521,0.0553614,0.21
0.0594245,0.122368,0.0542703,0.22
0.0576592,0.123199,0.053238,0.23
0.0558957,0.124014,0.0522615,0.24
0.0541336,0.124813,0.0513377,0.25
0.0523725,0.125596,0.0504637,0.26
0.0506123,0.126363,0.0496368,0.27
0.0488524,0.127114,0.0488545,0.28
0.0470928,0.127848,0.0481143,0.29
0.0453331,0.128567,0.047414,0.3
0.0435731,0.129269,0.0467514,0.31
0.0418126,0.129955,0.0461244,0.32
0.0400515,0.130625,0.0455312,0.33
0.0382895,0.131279,0.0449698,0.34
0.0365265,0.131916,0.0444385,0.35
0.0347623,0.132537,0.0439357,0.36
0.032997,0.133141,0.0434599,0.37
0.0312303,0.133729,0.0430095,0.38
0.0294622,0.134301,0.0425832,0.39
0.0276926,0.134856,0.0421797,0.4
0.0259214,0.135394,0.0417977,0.41
0.0241487,0.135916,0.041436,0.42
0.0223744,0.136421,0.0410936,0.43
0.0205984,0.136909,0.0407694,0.44
0.0188208,0.13738,0.0404624,0.45
0.0170416,0.137835,0.0401716,0.46
0.0152607,0.138273,0.0398962,0.47
0.0134782,0.138693,0.0396354,0.48
0.0116941,0.139097,0.0393882,0.49
0.00990852,0.139483,0.0391541,0.5
0.0081214,0.139853,0.0389322,0.51
0.00633283,0.140205,0.0387219,0.52
0.00454288,0.14054,0.0385226,0.53
0.00275159,0.140858,0.0383336,0.54
0.000959061,0.141159,0.0381545,0.55
-0.000834646,0.141442,0.0379846,0.56
-0.00262944,0.141708,0.0378234,0.57
-0.00442524,0.141956,0.0376706,0.58
